,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Bahrain,Belarus,Brazil,Canada,Switzerland,Chile,China,Colombia,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,Greece,High Income Countries,"Hong Kong SAR, China",Croatia,Hungary,India,Ireland,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,EMDE Middle East & N. Africa,Netherlands,Norway,New Zealand,Pakistan,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Uruguay,United States,"Venezuela, RB",Vietnam,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,6.747347,NA,9.614137,5.823096,6.439812,NA,NA,NA,NA,10.31667,1.090451,NA,NA,NA,NA,NA,4.864885,NA,NA,25,NA,NA,NA,NA,NA,15.51667,1.475,6.666424,7.8,8.825,NA,6.733582,1.74954,NA,NA,NA,14.73333,NA,NA,NA,NA,2.099018,NA,NA,NA,NA,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.041667,10.61144,6.28,NA,10.475,9.008333,NA,NA,NA,NA,NA,1.75,NA,7.05,NA,4.005607,NA,NA,NA,1.533333,NA,6.85,NA,NA,NA,NA
1992,7.531875,NA,10.75008,5.941711,7.088092,13.235,NA,NA,NA,11.21667,2.563105,NA,NA,NA,NA,NA,5.764563,NA,NA,27,NA,NA,NA,NA,NA,17.06667,3.725,11.79683,8.65,9.966667,NA,7.64989,1.947085,NA,NA,NA,15.4,NA,NA,NA,NA,2.151389,NA,NA,NA,NA,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.55,10.64473,5.85,NA,9.85,12.93333,NA,5.45,NA,NA,NA,1.8,NA,11.31833,11.56667,7.110956,NA,NA,NA,1.5,NA,7.491667,NA,NA,NA,NA
1993,7.958122,NA,10.86617,6.811381,8.61913,15.85583,NA,NA,NA,11.375,4.516116,NA,NA,NA,NA,4.325,6.93137,NA,NA,23.2,NA,NA,NA,NA,NA,20.83333,6.55,16.38421,9.65,10.4,NA,8.225122,1.980375,NA,NA,NA,15.63333,NA,NA,NA,19.7,2.503291,NA,NA,NA,NA,13.8,4.191667,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.608333,9.800159,4.73,NA,9.35,15.03333,NA,9.208333,NA,NA,NA,1.675,NA,12.855,14.575,11.14689,NA,NA,NA,1.425,NA,6.908333,NA,NA,NA,NA
1994,7.732834,NA,9.705695,6.54548,9.753554,14.06583,NA,NA,NA,10.39167,4.718465,NA,NA,NA,NA,4.3,7.340639,NA,NA,24.4,NA,NA,NA,NA,NA,22.05,7.55,16.53442,10.25,9.5,NA,8.124612,1.910873,NA,NA,NA,14.35,NA,NA,NA,15.8,2.890953,NA,NA,NA,NA,13.1,3.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8.342465,4.84,NA,9.55,16.50833,NA,10.975,7.00654,NA,NA,1.725,NA,14.62917,14.55,10.76619,NA,NA,NA,1.566667,NA,6.1,NA,NA,NA,NA
1995,7.279099,NA,8.471058,6.589767,9.674164,11.38583,NA,NA,NA,9.466667,4.232892,NA,NA,NA,NA,4.033333,7.091997,NA,NA,28.1,NA,9.906594,NA,NA,NA,20.79167,9.75,15.42648,9.675,8.658333,NA,7.625508,3.039959,NA,NA,NA,12.28333,NA,NA,NA,15.3,3.153574,NA,NA,NA,NA,12.3,6.116667,2.600765,NA,NA,NA,NA,NA,NA,NA,NA,5.441667,6.451948,5.37,NA,9.5,15.225,7.150996,9.975,8.308333,NA,NA,1.725,NA,13.68083,14.04167,10.42139,NA,NA,NA,1.808333,NA,5.591667,NA,NA,NA,NA
1996,7.246764,NA,8.516425,7.033851,9.544254,11.06167,NA,NA,NA,9.608333,4.665679,NA,NA,NA,NA,3.9,7.744785,NA,NA,28,NA,10.18694,NA,NA,NA,19.90833,9.95,14.58738,10.125,8.116667,NA,7.504302,2.856166,NA,NA,NA,11.65,NA,NA,NA,12.8,3.350839,NA,NA,NA,NA,11.3,7.133333,2.834639,NA,NA,NA,NA,NA,NA,NA,NA,4.791667,6.305462,5.37,NA,8.55,14.3,7.25532,7.775,9.268224,NA,NA,1.65,NA,12.605,13.91667,10.90169,NA,NA,NA,2.6,NA,5.408333,NA,NA,NA,NA
1997,6.952976,NA,8.363718,7.103283,9.213055,14.04583,NA,NA,NA,9.091667,5.201972,NA,NA,NA,NA,4.766667,8.564601,NA,NA,28,NA,10.83636,NA,NA,NA,18.4,9.65,12.6308,10.3,6.983333,NA,7.10264,2.237825,NA,NA,NA,9.858333,NA,NA,NA,14.4,3.403121,NA,NA,NA,NA,10.5,5.908333,3.048674,NA,NA,NA,NA,NA,NA,NA,NA,3.9,6.834242,6.12,NA,8.725,11.50833,6.752381,7.508333,10.82706,NA,NA,1.425,NA,12.91417,14.41667,10.88338,NA,NA,NA,2.725,11.55833,4.941667,NA,NA,NA,NA
1998,6.584465,NA,7.651377,7.184796,9.338434,12.20333,NA,NA,NA,8.291667,3.840284,NA,NA,NA,NA,6.475,8.107018,NA,NA,28,NA,11.39373,NA,NA,NA,16.40833,9.825,11.35479,9.875,6.266667,NA,6.73296,4.360939,NA,NA,NA,7.55,NA,NA,NA,14.4,4.114412,NA,NA,NA,NA,9.2,6.408333,2.829093,NA,NA,NA,NA,NA,NA,NA,NA,3.1,7.733373,5.89,NA,10.075,10.00833,4.992787,9.275,11.87585,NA,NA,2.575,NA,13.825,14.48333,8.816634,NA,NA,NA,2.7,10.125,4.5,NA,NA,NA,NA
1999,6.263949,NA,6.869885,6.645249,8.409715,13.7825,NA,NA,NA,7.566667,2.713548,NA,NA,NA,NA,8.725,7.482217,NA,NA,29.2,NA,12.81189,NA,NA,NA,13.6,12.25,10.19669,9.575,5.983333,NA,6.57834,6.254886,18.63333,6.925,NA,5.9,NA,NA,NA,11.6,4.683277,NA,NA,NA,NA,8.9,8.383333,2.656168,NA,NA,NA,NA,NA,NA,NA,NA,3.041667,7.014643,5.89,NA,9.775,11.99167,4.378613,11.39167,13.02649,NA,4.351138,2.8,NA,17.49083,13.56667,7.565055,NA,NA,NA,2.925,11.2,4.216667,14.50367,NA,NA,NA
2000,5.770125,NA,6.273074,5.803798,6.874202,18.12917,NA,NA,NA,6.833333,1.817696,NA,3.000531,NA,4.85,8.775,6.874591,NA,NA,29.5,NA,11.67077,NA,NA,NA,11.91667,14.575,9.774099,8.175,5.45,NA,6.242844,5.119731,20.58333,6.375,NA,4.491667,NA,NA,NA,13.9,4.714846,NA,4.391667,NA,NA,7.6,11.53333,2.381168,NA,NA,NA,NA,NA,NA,NA,NA,3.241667,6.143326,7.82,NA,11.2,14.025,3.997374,11.18333,10.55905,NA,4.571755,2.6,NA,18.265,12.18333,6.333988,NA,NA,NA,3,13.4,3.966667,13.98188,NA,NA,NA
2001,5.91405,NA,6.765135,6.094126,6.590027,17.50833,NA,NA,NA,7.225,1.700255,NA,3.250111,14.98406,3.916667,8.125,6.90132,NA,NA,27.3,3.593428,10.76138,NA,NA,NA,10.575,13,9.133711,7.4,5.083333,NA,6.418137,4.922822,21.50833,5.7,NA,4.183333,NA,NA,NA,14.7,5.039315,10.475,3.983333,NA,NA,7.9,12.53333,2.199102,NA,NA,NA,NA,NA,6.422907,NA,NA,3.433333,5.452826,7.82,NA,11.15,16.21667,4.072183,8.991667,8.95003,NA,4.621904,2.675,NA,18.26667,11.55833,5.833852,3.326667,NA,NA,4.561667,15.19167,4.741667,13.3524,NA,NA,26.05535
2002,6.470086,22.42537,6.358207,6.871619,7.528052,17.42667,NA,NA,NA,7.666667,2.550812,NA,3.851395,15.6013,3.516667,7.308333,7.666133,NA,NA,25.9,4.095894,10.81179,NA,NA,NA,11.46667,11.225,9.070982,7.525,5.175,NA,7.103512,7.227346,21.79167,5.8,NA,4.733333,NA,NA,NA,15.3,5.373721,9.366667,3.258333,NA,NA,8.8,11.34167,2.481706,12.4754,NA,NA,NA,NA,6.956842,NA,NA,3.683333,5.307234,8.27,9.403925,11.375,19.71667,5.067086,10.18333,8.058246,NA,5.27082,3.575,27.84063,17.80833,11.59167,5.959874,2.419167,NA,NA,5.171667,16.75,5.783333,16.22996,NA,7.288397,27.84063
